V4_0,calendar-years,time,admin-geography,geography,mid-year-pop-age,age,mid-year-pop-sex,sex
415,2017,2017,E06000001,Hartlepool,39,39,1,Male
1060,2017,2017,E06000001,Hartlepool,2,2,0,All
1165,2017,2017,E06000001,Hartlepool,8,8,0,All
1177,2017,2017,E06000001,Hartlepool,31,31,0,All
1421,2017,2017,E06000001,Hartlepool,55,55,0,All
627,2017,2017,E06000001,Hartlepool,6,6,1,Male
564,2017,2017,E06000001,Hartlepool,17,17,1,Male
246,2017,2017,E06000001,Hartlepool,81,81,1,Male
668,2017,2017,E06000001,Hartlepool,58,58,2,Female
588,2017,2017,E06000001,Hartlepool,68,68,2,Female
1547,2017,2017,E06000002,Middlesbrough,43,43,0,All
1313,2017,2017,E06000001,Hartlepool,58,58,0,All
838,2017,2017,E06000001,Hartlepool,72,72,0,All
609,2017,2017,E06000001,Hartlepool,30,30,1,Male
1108,2017,2017,E06000001,Hartlepool,3,3,0,All
1407,2017,2017,E06000001,Hartlepool,50,50,0,All
509,2017,2017,E06000001,Hartlepool,0,0,2,Female
1964,2017,2017,E06000002,Middlesbrough,0,0,0,All
1881,2017,2017,E06000002,Middlesbrough,1,1,0,All
1765,2017,2017,E06000002,Middlesbrough,46,46,0,All
860,2017,2017,E06000002,Middlesbrough,32,32,1,Male
915,2017,2017,E06000002,Middlesbrough,51,51,1,Male
1558,2017,2017,E06000003,Redcar and Cleveland,9,9,0,All
1524,2017,2017,E06000003,Redcar and Cleveland,37,37,0,All
1417,2017,2017,E06000004,Stockton-on-Tees,90+,90+,0,All
223,2017,2017,E06000004,Stockton-on-Tees,87,87,1,Male
1637,2017,2017,E06000004,Stockton-on-Tees,72,72,0,All
351,2017,2017,E06000003,Redcar and Cleveland,85,85,2,Female
1163,2017,2017,E06000004,Stockton-on-Tees,69,69,2,Female
159,2017,2017,E06000004,Stockton-on-Tees,89,89,1,Male
299,2017,2017,E06000003,Redcar and Cleveland,87,87,2,Female
1276,2017,2017,E06000004,Stockton-on-Tees,35,35,2,Female
603,2017,2017,E06000004,Stockton-on-Tees,87,87,0,All
739,2017,2017,E06000002,Middlesbrough,37,37,1,Male
1344,2017,2017,E06000003,Redcar and Cleveland,38,38,0,All
495,2017,2017,E06000003,Redcar and Cleveland,87,87,0,All
796,2017,2017,E06000003,Redcar and Cleveland,37,37,2,Female
1164,2017,2017,E06000004,Stockton-on-Tees,21,21,1,Male
1381,2017,2017,E06000004,Stockton-on-Tees,49,49,2,Female
1268,2017,2017,E06000001,Hartlepool,30,30,0,All
1246,2017,2017,E06000001,Hartlepool,48,48,0,All
335,2017,2017,E06000001,Hartlepool,86,86,0,All
883,2017,2017,E06000001,Hartlepool,71,71,0,All
196,2017,2017,E06000001,Hartlepool,89,89,0,All
526,2017,2017,E06000001,Hartlepool,1,1,2,Female
579,2017,2017,E06000001,Hartlepool,10,10,2,Female
696,2017,2017,E06000001,Hartlepool,52,52,2,Female
563,2017,2017,E06000001,Hartlepool,70,70,2,Female
608,2017,2017,E06000001,Hartlepool,33,33,2,Female
1990,2017,2017,E06000002,Middlesbrough,6,6,0,All
1607,2017,2017,E06000002,Middlesbrough,16,16,0,All
976,2017,2017,E06000002,Middlesbrough,54,54,2,Female
1594,2017,2017,E06000003,Redcar and Cleveland,23,23,0,All
1639,2017,2017,E06000003,Redcar and Cleveland,27,27,0,All
461,2017,2017,E06000002,Middlesbrough,78,78,2,Female
189,2017,2017,E06000002,Middlesbrough,89,89,2,Female
716,2017,2017,E06000003,Redcar and Cleveland,8,8,2,Female
769,2017,2017,E06000003,Redcar and Cleveland,23,23,2,Female
859,2017,2017,E06000003,Redcar and Cleveland,6,6,2,Female
834,2017,2017,E06000003,Redcar and Cleveland,32,32,2,Female
201,2017,2017,E06000003,Redcar and Cleveland,89,89,2,Female
